Central,North,South,East,West,flat_type,storey_range,floor_area_sqm,remaining_lease_decimal,resale_price
1,0,0,0,0,5,2,124,78,999000
1,0,0,0,0,5,1,124,69.04,752000
1,0,0,0,0,5,2,117,51.08,668000
1,0,0,0,0,5,2,119,51.08,660000
1,0,0,0,0,5,1,140,60.05,880000
1,0,0,0,0,5,2,110,85.03,1098888
1,0,0,0,0,6,1,146,62.07,1018000
1,0,0,0,0,6,1,145,69.04,1030000
1,0,0,0,0,3,1,64,62.07,480000
1,0,0,0,0,3,1,65,49.1,325000
1,0,0,0,0,4,1,90,62,652888
1,0,0,0,0,4,1,84,61.11,605000
1,0,0,0,0,4,1,84,61.11,626000
1,0,0,0,0,4,1,83,63.09,642000
1,0,0,0,0,4,2,114,68.08,790000
1,0,0,0,0,4,1,114,68.06,685000
1,0,0,0,0,4,1,113,68.07,590000
1,0,0,0,0,4,1,108,68.07,688000
1,0,0,0,0,4,1,104,68.06,715000
1,0,0,0,0,4,2,95,87.07,1075000
1,0,0,0,0,4,1,91,61.03,560000
1,0,0,0,0,4,1,105,66.01,608000
1,0,0,0,0,4,1,95,66.01,667000
1,0,0,0,0,5,1,121,63,730000
1,0,0,0,0,5,1,121,63.06,893000
1,0,0,0,0,5,1,121,62.1,880000
1,0,0,0,0,5,1,121,63.07,860000
1,0,0,0,0,5,1,121,62.09,893000
1,0,0,0,0,5,1,120,66,938000
1,0,0,0,0,6,1,146,68.06,980000
1,0,0,0,0,3,1,59,47,365000
1,0,0,0,0,3,1,59,47.06,317000
1,0,0,0,0,3,1,62,91.11,700000
1,0,0,0,0,3,1,69,89.04,610000
1,0,0,0,0,3,2,69,89.04,710000
1,0,0,0,0,3,1,65,51,322000
1,0,0,0,0,3,1,60,43.05,328000
1,0,0,0,0,3,1,62,46,388000
1,0,0,0,0,3,1,82,64.09,482000
1,0,0,0,0,3,1,60,43.05,328000
1,0,0,0,0,3,1,59,46.11,340000
1,0,0,0,0,3,1,58,45.05,378000
1,0,0,0,0,3,2,60,84.1,672000
1,0,0,0,0,3,1,53,45.06,285000
1,0,0,0,0,3,1,88,49,720000
1,0,0,0,0,3,1,65,51.03,305000
1,0,0,0,0,3,1,65,51.11,365888
1,0,0,0,0,3,1,65,51.03,390000
1,0,0,0,0,3,1,65,52.01,333000
1,0,0,0,0,3,1,67,54,380000
1,0,0,0,0,3,1,67,52.08,370000
1,0,0,0,0,3,2,68,94.11,738888
1,0,0,0,0,3,2,68,94.1,704000
1,0,0,0,0,3,1,67,89.06,638000
1,0,0,0,0,4,1,100,81.08,916000
1,0,0,0,0,4,1,103,61.01,635000
